translation;model
 In feite produceerde ze helemaal geen geluid meer. Het laatste wat ze had gezegd was: 'Kun je niet eens even ophouden met praten?';gpt
 Die verschillende tentoonstellingen die die eerste zomer aangeboden werden, van de achtste en laatste impressionistische tentoonstelling in mei tot de Salon des Ind???pendants in augustus, boden hem een ideale kans om een bonte verzameling van hedendaagse stijlen te confronteren.;gpt
 Er is geen zoiets als voorspellen.;gpt
 Is dat realistisch?;gpt
 In zijn brieven was hij vastberaden om zulke achtergronddetails te communiceren, en op een bepaald niveau verwachtte Van Gogh duidelijk ook dat zijn kijkers ze zouden opnemen.;gpt
 Toen ik mijn vrouw dat vertelde, begon ze te huilen.;gpt
 Het regime voor gevangenen -- dat baden, oefeningen in de tuinen en regelmatige maaltijden omvatte, hoewel hij het smakeloze dieet verwierp -- werd geregeld door klokken.;gpt
 'Maak je dat zelf?' vroeg ze, wijzend naar de groentequiche.;gpt
 Hij was zich goed bewust van de chaos waarin andere kunststudenten terechtkwamen toen ze probeerden te schilderen voordat ze stevig konden tekenen.;gpt
 Er bestaat geen twijfel dat het alcoholgebruik en de slechte voeding van Van Gogh zijn toestand verergerden, maar er is geen eensgezindheid over de precieze aard van zijn ziekte -- het lijkt waarschijnlijk dat het een vorm van epilepsie van de temporale kwab was, gecompliceerd door een bipolaire affectieve stoornis.;gpt
 Waarom het mooiste antwoord? vroeg ze, naar me kijkend alsof ze een stuk rundvlees inspecteerde.;gpt
"De ober zei: """"Voor ??n dollar krijg je er een derde gratis.""""""";gpt
" Op de avond van 23-24 december, na een dronken ruzie, leed Van Gogh aan een soort psychische inzinking; hij lijkt naar Gauguin te zijn gekomen met een scheermes, maar toen hij werd uitgedaagd, vluchtte hij, richtte het wapen op zichzelf en sneed de lob van zijn linkeroor af.";gpt
 In het land had hij de neiging om modellen te zoeken die de harde realiteiten van het werk hadden gekend -- bedienden, landarbeiders en wevers -- en, op dezelfde manier, zocht hij zijn modellen in de stad onder prostituees en bedelaars.;gpt
 Ze lachte spotachtig.;gpt
 Het portret van de kleurhandelaar Julien Tanguy (1824-1894) van Van Gogh, een trouwe steunpilaar van de kunstenaars van 'le petit boulevard', behoort tot deze fase van intense persoonlijke identificatie met Japanse kunst (ill. 54).;gpt
 Naar de muziek op de Top 40-station, omdat we die de hele nacht hadden aanstaan.;gpt
 Wat was het doel van dat?;gpt
 Geboren in 1853 in Zundert, groeide Van Gogh op in het Brabantse platteland.;gpt
 Maar Vincent verdedigde zichzelf door wat hij probeerde te vergelijken met Delacroix's behandeling van landschap: 'Ik ben me ervan bewust dat de studies in de laatste verpakking, getekend met die grote sinu??de lijnen, niet wat ze moeten zijn, maar ik dring er bij u op aan om te geloven dat er in landschap een voortdurende inspanning zal zijn om dingen te massaliseren door middel van een tekenstijl die probeert de verwarring van de massa's uit te drukken.';gpt
 Ik wist nog steeds niet waarom ze het hadden afgezet, maar ik had opgehouden erover te commentaar.;gpt
"Op een avond, nadat ze wat later dan gewoonlijk thuis was gekomen - het was een erg stille avond - vroeg ik: 'Kan ik met je in therapie gaan?'""";gpt
 'Hier,' zei ik, 'neem dit. Dansen zal de honger niet van de deur houden.';gpt
 Opmerkelijk genoeg was het niet het voorbeeld van zijn Franse collega's dat Van Gogh ertoe aanzette om de meest radicale stilistische afwijkingen te maken van zijn eerdere Nederlandse werk. Het was de beslissing om Japanse kunst rechtstreeks in zijn eigen werk te confronteren.;gpt
 Opnieuw dacht ik aan het verhaal dat ik over Rebecca zou kunnen schrijven. Het zou een prachtig verhaal zijn, omdat ik door haar alles wat ik nog te zeggen had kon zeggen.;gpt
 Wanneer kan ik het je geven?;gpt
 Ik was niet al te blij met dat, met haar daar eten, omdat het een rommel maakte en ik het allemaal op moest ruimen.;gpt
 Hij lijkt Van Gogh aangemoedigd te hebben om zijn aandacht in plaats daarvan te richten op de historische sites van Arles.;gpt
" En hoewel het schilderij alleen staat, had het in de gedachten van de kunstenaar een pendant, de stoel van Gauguin (ill. 123); Van Gogh hield ervan om zijn werken op deze manier tegen elkaar af te zetten, bewust van de plaats die elk had in zijn steeds groeiende oeuvre.";gpt
 Hoewel de aanvallen verlammend waren tijdens hun duur, waren Van Gogh's gedachten helder tijdens de tussenpozen en hij kon goed werken.;gpt
 Of een tweedehands kledingwinkel - is dat wat jullie willen?;gpt
 Hij was gefascineerd door de kaartachtige relatie tussen de sterrenbeelden en wierp zijn verbeelding vooruit naar de mogelijke reis die gemaakt kon worden, voorbij het graf, naar hun sterrenrijk.;gpt
 'Goed, dus beledig me niet.';gpt
 Wat zou er gebeuren als we die meisje kanker gaven?;gpt
 Voor de eerste keer keek ik echt naar haar handen.;gpt
 Ik dacht dat het vanzelf kwam.;gpt
 Toen ik die nacht terugkwam, vond ik een paar van haar slipjes achter mijn bank.;gpt
 Het is nog steeds onzeker of Van Gogh's zelfmoord aan het einde van juli een vooraf geplande afsluiting was van een leven vol steeds groter wordende pijn of een schreeuw om hulp.;gpt
"Zijn schoonzus Jo genoot ervan om deze koele open plek te overdenken toen ze het schilderij op de Salon des Ind?pendants het volgende jaar tegenkwam.""";gpt
 Het is niet gemakkelijk om gewend te raken aan snackbars als je gewend bent om in de beste restaurants te eten.;gpt
 'Oh, iedereen zegt dat.';gpt
 Mijn vrouw en ik waren samen een keer in Lissabon geweest.;gpt
 Het hoofdonderwerp dat hem in het vroege 1889 bezighield was ideaal geschikt om zijn evenwicht te herstellen: een portret van een vrouw die een wieg schommelt.;gpt
 Ze zijn vaak heel kleine illusies, maar die kleine illusies kunnen zo mooi zijn.;gpt
 Sommigen van hen zag ik van week tot week achteruitgaan.;gpt
 Maar hij werd nu bezeten door een nieuwe angst, voor de onvoorspelbare maar onvermijdelijke terugkeer van zijn ziekte.;gpt
 En van het knappen van puistjes.;gpt
" In dit geval, zo legde hij Theo uit, voelde hij dat de donkere massa's van de bomen (die twee derde van het doekoppervlak in beslag nemen) meer solide impasto in de voorgrond nodig hadden; dit bouwde hij op, 'met dikke lagen loodwit.";gpt
 Misschien had ik krasloten moeten uitdelen.;gpt
 'Ik ben al een tijdje niet op tv geweest.';gpt
"Vorig jaar.""";gpt
 Ze maakte ook een beeld van de weerman.;gpt
 De dood had me nog niet aangeraakt: ik had een paar mensen om me heen zien sterven, sommigen snel, anderen langzamer. Maar mijn eigen dood stond nog niet op het programma, hoewel mijn eigen vrouw me op verschillende momenten had verteld hoe kortzichtig het was om dat te denken.;gpt
" Deze scherpe verschillen werden weerspiegeld in hun verschillende smaken in kunst; hoewel ze het eens waren over de verdiensten van Millet en Delacroix, had Gauguin een voorkeur voor de klassieke traditie en koele tekenaars zoals Raphael, Ingres en Degas, terwijl Van Gogh meer enthousiast was over romantische, schilderachtige kunstenaars zoals Daumier (1808-1879), Ziem (1821-1911), Rousseau (1812-1867) en Monticelli.";gpt
 Hij legde zijn bandrecorder en microfoon weg en rookte nog een sigaret.;gpt
 Dat wil zeggen, ik had veel te zeggen, maar het kwam niet goed uit.;gpt
